Industry,Jobs,Shortform
Education and training,13.7,Education
"Cafes, restaurants and takeaway food services",6.5,Food
Sports and recreation services,2.9,Sports
Road passenger transport and transport equipment rental,2.6,Rental services
Retail trade,2.3,Retail
Cultural services,2,Cultural services
Travel agency and information centre services,1.8,Travel assistance
Accommodation,1.5,Accommodation
"Clubs, pubs, taverns and bars",1.4,Bars
All other industries,1.3,Other
"Air, water and other passenger transport",1.1,Passanger transport
Casinos and other gambling services,0,Casinos
